Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,77.000000,79.000000,71.000000,71.000000,71.000000,10711200
2020-12-01,67.000000,69.000000,67.000000,67.000000,67.000000,2990000
2020-12-02,64.000000,64.000000,63.000000,63.000000,63.000000,3060700
2020-12-03,59.000000,73.000000,59.000000,59.000000,59.000000,57041600
2020-12-04,59.000000,76.000000,57.000000,66.000000,66.000000,120747600
2020-12-07,66.000000,67.000000,62.000000,64.000000,64.000000,30339600
2020-12-08,64.000000,80.000000,62.000000,67.000000,67.000000,147612800
2020-12-10,68.000000,90.000000,65.000000,90.000000,90.000000,405919200
2020-12-11,95.000000,100.000000,84.000000,84.000000,84.000000,57247300
2020-12-14,79.000000,79.000000,79.000000,79.000000,79.000000,6016800
2020-12-15,74.000000,92.000000,74.000000,77.000000,77.000000,403430800
2020-12-16,78.000000,83.000000,77.000000,79.000000,79.000000,40030700
2020-12-17,81.000000,82.000000,78.000000,79.000000,79.000000,21706500
2020-12-18,79.000000,81.000000,77.000000,78.000000,78.000000,11945400
2020-12-21,78.000000,85.000000,77.000000,80.000000,80.000000,82203800
2020-12-22,80.000000,82.000000,75.000000,76.000000,76.000000,20867400
2020-12-23,74.000000,90.000000,74.000000,79.000000,79.000000,149162100
2020-12-28,80.000000,81.000000,76.000000,77.000000,77.000000,16647300
2020-12-29,77.000000,93.000000,75.000000,88.000000,88.000000,473192900
2020-12-30,88.000000,95.000000,82.000000,82.000000,82.000000,282844000
2021-01-04,80.000000,82.000000,77.000000,80.000000,80.000000,35982000
2021-01-05,79.000000,88.000000,78.000000,78.000000,78.000000,75045600
2021-01-06,76.000000,81.000000,76.000000,77.000000,77.000000,32318400
2021-01-07,76.000000,82.000000,76.000000,78.000000,78.000000,31999300
2021-01-08,78.000000,80.000000,77.000000,78.000000,78.000000,16191900
2021-01-11,78.000000,79.000000,77.000000,77.000000,77.000000,11188300
2021-01-12,79.000000,81.000000,77.000000,78.000000,78.000000,34704200
2021-01-13,78.000000,79.000000,75.000000,77.000000,77.000000,20919900
2021-01-14,77.000000,99.000000,76.000000,83.000000,83.000000,718714700
2021-01-15,84.000000,85.000000,79.000000,80.000000,80.000000,95911100
2021-01-18,80.000000,88.000000,77.000000,79.000000,79.000000,141056600
2021-01-19,79.000000,81.000000,77.000000,78.000000,78.000000,23492400
2021-01-20,80.000000,80.000000,77.000000,79.000000,79.000000,16877300
2021-01-21,79.000000,80.000000,77.000000,78.000000,78.000000,15560400
2021-01-22,78.000000,79.000000,73.000000,74.000000,74.000000,27025900
2021-01-25,74.000000,75.000000,69.000000,69.000000,69.000000,36399300
2021-01-26,69.000000,69.000000,65.000000,65.000000,65.000000,19734500
2021-01-27,65.000000,65.000000,61.000000,61.000000,61.000000,6309300
2021-01-28,57.000000,61.000000,57.000000,57.000000,57.000000,16047800
2021-01-29,58.000000,58.000000,54.000000,56.000000,56.000000,14119300
2021-02-01,56.000000,61.000000,53.000000,59.000000,59.000000,23451700
2021-02-02,59.000000,67.000000,58.000000,59.000000,59.000000,30306300
2021-02-03,59.000000,69.000000,58.000000,62.000000,62.000000,82320300
2021-02-04,62.000000,64.000000,61.000000,62.000000,62.000000,21992200
2021-02-05,63.000000,64.000000,60.000000,62.000000,62.000000,7083800
2021-02-08,61.000000,68.000000,61.000000,64.000000,64.000000,24699400
2021-02-09,67.000000,69.000000,63.000000,64.000000,64.000000,31191000
2021-02-10,64.000000,65.000000,62.000000,63.000000,63.000000,12177100
2021-02-11,63.000000,68.000000,63.000000,65.000000,65.000000,20206000
2021-02-15,65.000000,70.000000,64.000000,65.000000,65.000000,44724400
2021-02-16,65.000000,67.000000,64.000000,65.000000,65.000000,10380800
2021-02-17,65.000000,66.000000,63.000000,64.000000,64.000000,7270200
2021-02-18,64.000000,86.000000,64.000000,86.000000,86.000000,568282500
2021-02-19,91.000000,96.000000,80.000000,80.000000,80.000000,51200400
2021-02-22,75.000000,86.000000,75.000000,75.000000,75.000000,464138100
2021-02-23,72.000000,80.000000,70.000000,79.000000,79.000000,208936800
2021-02-24,80.000000,84.000000,75.000000,76.000000,76.000000,182152800
2021-02-25,76.000000,81.000000,74.000000,76.000000,76.000000,204070500
2021-02-26,76.000000,77.000000,73.000000,74.000000,74.000000,37657100
2021-03-01,74.000000,76.000000,73.000000,74.000000,74.000000,20886100
2021-03-02,74.000000,77.000000,73.000000,74.000000,74.000000,21888300
2021-03-03,74.000000,78.000000,73.000000,77.000000,77.000000,73796100
